Time,SpaceGap,Latitude,Rel_vel,Rel_accel,Score,Track,ID
1628251884.25969,44.12,3.2,-1.9278000000000002,-0.2857,2.0,384.0,8
1628251884.261264,80.84,-0.52,-0.2142,-0.2857,61.0,386.0,1
1628251884.261497,100.60000000000001,2.56,-2.3205,-0.2857,37.0,388.0,30
1628251884.263692,44.12,3.2,-1.9278000000000002,0.0,2.0,392.0,8
1628251884.264824,41.08,1.16,-1.9635000000000002,-0.2857,65.0,394.0,37
1628251884.309499,43.96,3.2,-1.9635000000000002,0.0,2.0,384.0,8
1628251884.310328,80.84,-0.44,-0.2499,-0.2857,63.0,386.0,1
1628251884.310466,41.0,1.72,-1.94565,-0.42855,100.0,387.0,37
1628251884.311306,100.44,2.56,-2.3205,-0.2857,35.0,388.0,30
1628251884.313175,43.96,3.2,-1.9635000000000002,-0.42855,1.0,392.0,8
1628251884.314216,40.92,1.16,-1.9635000000000002,-0.2857,64.0,394.0,37
1628251884.359585,43.84,3.4,-1.9635000000000002,-0.2857,1.0,384.0,8
1628251884.360515,80.84,-0.28,-0.26775000000000004,-0.42855,64.0,386.0,1
